bransje,navn,orgnr,adresse,poststed,stiftet,alder
Frisør,AGATON SAX MT AS,998575133,Toklebakken 2,9900 KIRKENES,2012-06-10,14
Frisør,AGS AS,999602312,"c/o Salong Hårfagre, Storgata 112",2390 MOELV,2013-01-01,13
Frisør,AHRUM AS,832329282,Meierigata 18,4340 BRYNE,2023-09-25,3
Frisør,ÀIMICUTTING PERMANENT MAKEUP AS,932401029,"c/o Ina Marita Gaup, Reistadhaugen 28",9513 ALTA,2023-10-16,3
Frisør,AK HÅRDESIGN AS,915770681,Sandvenvegen 27,5600 NORHEIMSUND,2015-07-30,11
Frisør,AKILLES NESODDEN AS,833924192,Tofaret 2B,1407 VINTERBRO,2024-08-07,2
Frisør,AKILLES SALONG AS,918898492,Ekebergveien 228C,1162 OSLO,2017-02-01,9
Frisør,AKILLES SALONG SÆTER AS,929624572,Gøteborggata 23,0566 OSLO,2022-07-31,4
Frisør,AKRAT AS,924475633,Sommerly 3,1900 FETSUND,2019-11-27,7
Frisør,AKS SAKS AS,998403189,Orkdalsveien 63,7300 ORKANGER,2012-05-10,14
Frisør,AL JASRI AS,919400064,Thorvald Meyers gate 47A,0555 OSLO,2017-07-07,9
Frisør,AL-MA AS,918848894,Kongevegen 152,2211 KONGSVINGER,2017-03-23,9
Frisør,ALAN FRISØR AS,927452081,Tollbugata 23,3044 DRAMMEN,2021-06-21,5
Frisør,ALAN'S BARBER SHOP AS,932518678,Torvgata 3,2000 LILLESTRØM,2023-10-26,3
Frisør,ALANYA FRISØR TROMSØ AS,913564804,Storgata 80-82,9008 TROMSØ,2014-04-23,12
Frisør,ALBERTINE FRISØR AS,920293565,Narviga 5,4633 KRISTIANSAND S,2018-01-02,8
Frisør,ALEM CONSULT AS,933979075,Gjerdrumsvegen 17B,2040 KLØFTA,2024-08-08,2
Frisør,ALEX FRISØR AS,918338217,Bragernes torg 1A,3017 DRAMMEN,2016-12-09,10
Frisør,ALFAKRØLL FRISØR AS,826464062,"c/o Borg Storsenter, Klokkergårdveien 31",1711 SARPSBORG,2021-01-02,5
Frisør,ALINA B. AS,932733315,Mellomgata 16,4013 STAVANGER,2023-11-24,3
Frisør,ALINA FRISØR AS,914937892,Ingeskjeret 8,5918 FREKHAUG,2015-01-25,11
Frisør,ALISE KVAMMEN AS,915581455,Naustdalsvegen 1B,6800 FØRDE,2015-06-01,11
Frisør,ALL FOR YOU AS,911897709,Lysaker torg 10,1366 LYSAKER,2013-04-01,13
Frisør,ALLSTARBARBER ONWHEELS AS,933475824,Ødegårds vei 59,1470 LØRENSKOG,2024-03-25,2
Frisør,ALTA HÅRPLEIE AS,913480198,Bekkefaret 2,9513 ALTA,2014-03-25,12
Frisør,ALTAIE FRISØR AS,918836802,Altaveien 88,9513 ALTA,2017-03-10,9
Frisør,ALZOBAIDI AS,926775871,Sveiogata 65A,5550 SVEIO,2021-02-25,5
Frisør,AM FRISØR 2 AS,928703878,"c/o AM Frisør, Kleppevegen 110",5308 KLEPPESTØ,2022-01-22,4
Frisør,AM SALONGEN AS,816723892,Olavs gate 24,3256 LARVIK,2016-01-01,10
Frisør,AMANDA FRISØR AS,925758116,Gjekstadveien 4,3218 SANDEFJORD,2020-09-16,6
Frisør,AMAZING FRISØR AS,915218326,Kjøpmannsbrotet 5,4351 KLEPPE,2015-03-18,11
Frisør,AMETYST FRISØR OG VELVÆRE AS,922182329,Nordbyveien 2,1734 HAFSLUNDSØY,2019-01-21,7
Frisør,AMIES AS,932612658,Christian Michelsens gate 8,5012 BERGEN,2023-11-16,3
Frisør,AMIGOS BARBERSHOP AS,930897752,Professor Smiths alle 55,3048 DRAMMEN,2023-01-05,3
Frisør,AMIN FRISØR AS,933912396,Havnegaten 4,4836 ARENDAL,2024-07-28,2
Frisør,AMIR FRISØR AS,928077810,Vassleitet 8B,7160 BJUGN,2021-10-12,5
Frisør,AMNT AS,918817182,Vibes gate 1B,0356 OSLO,2017-03-10,9
Frisør,AMOK AS,912341399,Sexes gate 2B,0577 OSLO,2013-09-02,13
Frisør,AMR INVEST AS,828596012,Hetlevikvegen 149,5304 HETLEVIK,2022-01-04,4
Frisør,AMY CLIPHOUSE AS,899002962,Krabberødveien 1,3960 STATHELLE,2012-10-04,14
Frisør,ANDRE SIDEN AV SPEILET AS,914382092,Kaffegata 19,2270 FLISA,2014-10-03,12
Frisør,ANETTE HØYÅSEN AS,930764639,Skippergata 41,4611 KRISTIANSAND S,2023-01-08,3
Frisør,ANETTES SALONG AS,997031830,Folldalslia 1L,5239 RÅDAL,2011-05-10,15
Frisør,ANGEL NAILS EIDSVOLL AS,930226386,Gladbakkvegen 1,2070 RÅHOLT,2022-10-21,4
Frisør,ANITA FRISØR AS,919268204,Langebruvegen 9,6800 FØRDE,2017-03-30,9
Frisør,ANKAS FRISØR AS,927834820,Storgata 26,9600 HAMMERFEST,2021-09-13,5
Frisør,ANN BEATE FRISØR AS,998898749,Bersvendveita 16,7011 TRONDHEIM,2012-09-10,14
Frisør,ANN HELEN FRISØR AS,826767782,Høyenhallveien 16,1446 DRØBAK,2021-01-04,5
Skjønnhetspleie,1820 SKIN CLINIC AS,929526678,Wilses vei 1A,1820 SPYDEBERG,2022-06-20,4
Skjønnhetspleie,2CE NAIL BEAUTY AS,832950602,Gamleveien 88,1461 LØRENSKOG,2024-01-24,2
Skjønnhetspleie,5 ZENZES AS,817539602,Josefines gate 26,0351 OSLO,2016-07-21,10
Skjønnhetspleie,A&E LUXURY AS,925572241,Gamleveien 88,1461 LØRENSKOG,2020-07-15,6
Skjønnhetspleie,A2 HUDKLINIKK AS,919394994,Nedre Korskirkeallmenningen 2,5017 BERGEN,2017-07-05,9
Skjønnhetspleie,ABSOLUTE DAY AS,932160420,Rådmann Paulsens gate 32,1461 LØRENSKOG,2023-09-01,3
Skjønnhetspleie,AD FONTE KLINIKKEN AS,929270053,Nymoens torg 4A,3611 KONGSBERG,2022-04-01,4
Skjønnhetspleie,ADORA FEMME AS,817987222,Melingsåsen 47,5384 TORANGSVÅG,2016-10-27,10
Skjønnhetspleie,AESTHETIC HUDPLEIE AS,832466042,Bølerveien 84,2020 SKEDSMOKORSET,2023-10-18,3
Skjønnhetspleie,AFRODITE'S BEAUTY AS,920610854,Lyveien 33,0777 OSLO,2018-02-11,8
Skjønnhetspleie,AGENDA HAIR AS,914889618,Sørhauggata 158,5527 HAUGESUND,2015-01-01,11
Skjønnhetspleie,AGUSTAS HUDPLEIE AS,928555151,Nygårdsveien 82,3221 SANDEFJORD,2022-01-01,4
Skjønnhetspleie,AK FOTTERAPI AS,923118268,Damfaret 25,0671 OSLO,2019-06-18,7
Skjønnhetspleie,AKSDAL HUDPLEIE AS,933030350,Rådhusvegen 45,5570 AKSDAL,2024-01-19,2
Skjønnhetspleie,ALFAR HAIR & BEAUTY DA,917102147,Storgata 96,3182 HORTEN,2016-05-05,10
Skjønnhetspleie,ALTA FOTKLINIKK AS,930290068,Heitmannåsen 10,9513 ALTA,2022-10-31,4
Skjønnhetspleie,AMANDAS HUDPLEIE AS,933024202,Gidsken Jakobsens vei 32,8008 BODØ,2024-02-06,2
Skjønnhetspleie,AMAZING ORI NAILS AS,929376811,"Ski Storsenter, Jernbanesvingen 6",1400 SKI,2022-04-07,4
Skjønnhetspleie,AMS DRIFT AS,925669598,"c/o Angelika Miller, Flatene 56",6814 FØRDE,2020-08-28,6
Skjønnhetspleie,ANA STUDIO AS,930192368,Schweigaards gate 61A,0656 OSLO,2022-10-20,4
Skjønnhetspleie,ANDRINES VELVÆRE AS,915728553,Torget 2,2760 BRANDBU,2015-07-23,11
Skjønnhetspleie,ANGEL NAILS SUPPLY AS,925216240,Stalsbergenga 21B,1466 STRØMMEN,2020-05-28,6
Skjønnhetspleie,ANITA ØSTNES AS,920236723,Ekelundstien 129,2004 LILLESTRØM,2017-12-06,9
Skjønnhetspleie,ANJA RØDFJELL BREDESEN AS,934058178,Skogbrynet 11,8618 MO I RANA,2024-09-02,2
Skjønnhetspleie,ANN MARIS HUD OG VELVÆRE AS,921190530,Svennskotveien 29,4905 TVEDESTRAND,2018-06-18,8
Skjønnhetspleie,ANNA AS,926551574,Repslagergata 13,8300 SVOLVÆR,2021-01-01,5
Skjønnhetspleie,ANNA'S BEAUTY PLACE AS,931426885,Liegata 1B,3717 SKIEN,2023-05-04,3
Skjønnhetspleie,ANNALENA B&B AS,925892092,Valderhaug 27,6050 VALDERØYA,2020-10-16,6
Skjønnhetspleie,ANNE LISES VELVÆRE AS,924785950,Bøgata 76,3800 BØ I TELEMARK,2020-03-11,6
Skjønnhetspleie,"ANNE,S HJERTEROM AS",930677353,Moveien 27,8250 ROGNAN,2023-01-03,3
Skjønnhetspleie,ANNOWI AS,831494042,Kirkeveien 362,3140 NØTTERØY,2023-03-01,3
Skjønnhetspleie,APELO AS,930635545,John Strandruds vei 16,1360 FORNEBU,2022-11-04,4
Skjønnhetspleie,AQUASPA AS,934259122,Trimveien 41A,3188 HORTEN,2024-10-14,2
Skjønnhetspleie,ARCTIC FEET AS,933487229,Dronningens gate 19,8514 NARVIK,2024-05-14,2
Skjønnhetspleie,ARDOR & COMPANY AS,926768123,St. Svithuns gate 12,4008 STAVANGER,2021-02-16,5
Skjønnhetspleie,ARENDAL HUDKLINIKK AS,926853635,Langbryggen 1,4841 ARENDAL,2021-03-01,5
Skjønnhetspleie,ARTIMIS MEDICAL BEAUTY AS,917016941,Bygdøy allé 55,0265 OSLO,2016-03-17,10
Skjønnhetspleie,ARTLINE BY LAURA AS,930918008,Sørhauggata 133,5527 HAUGESUND,2023-03-01,3
Skjønnhetspleie,AS BEAUTY BY DB SANDNES,930211796,Gamleveien 25,4315 SANDNES,2022-10-06,4
Skjønnhetspleie,ASHTI SKINCARE AS,917284350,St. Marie gate 111,1706 SARPSBORG,2016-05-01,10
Skjønnhetspleie,ASKER HUD OG VELVÆRE AS,820331052,Bankveien 7,1383 ASKER,2018-01-23,8
Skjønnhetspleie,AUDS HUDPLEIE MARKENS AS,918060588,Markens gate 24,4611 KRISTIANSAND S,2016-08-16,10
Skjønnhetspleie,AURA SKIN AS,923191321,Bøvegen 60,4260 TORVASTAD,2019-07-11,7
Tannlege,7 FJELL KJEVEORTOPEDI AS,925820148,Folke Bernadottes vei 38,5147 FYLLINGSDALEN,2020-09-30,6
Tannlege,A & S COMPOSITT AS,997887107,Bøveien 2,1389 HEGGEDAL,2012-01-05,14
Tannlege,ABC TANNKLINIKKEN AS,897039052,Olav Tryggvasons gate 24,7011 TRONDHEIM,2011-07-06,15
Tannlege,ABRA DENTAL AS,931185659,Trosterudstien 8E,0778 OSLO,2023-03-27,3
Tannlege,ACCEPT DENTAL AS,930081523,Stasjonsgata 70,3300 HOKKSUND,2022-09-09,4
Tannlege,AESAR DENTAL AS,932366282,Sorgenfrigata 15A,0365 OSLO,2023-08-15,3
Tannlege,AETERNITUS INVEST AS,820272862,Tronesgeilen 9,4317 SANDNES,2018-01-02,8
Tannlege,AFH CONSULT AS,927582317,Ørebekk allé 8A,1624 GRESSVIK,2021-06-25,5
Tannlege,AFNAN DENTAL AS,997686977,Haugsåsen 50,1350 LOMMEDALEN,2011-10-27,15
Tannlege,AGDER DENTAL AS,923202412,Storgaten 71,4877 GRIMSTAD,2019-07-21,7
Tannlege,AGNETAS AS,926307975,"C/o Agneta Dalheim, Lumberodden 28",4621 KRISTIANSAND S,2020-11-01,6
Tannlege,AGUILA AS,917253781,Gloppegata 25,5529 HAUGESUND,2016-05-12,10
Tannlege,AHZ AS,929528387,Tjørnahaugvegen 13,5545 VORMEDAL,2022-06-22,4
Tannlege,AI DENTAL TEKNIKK AS,934153707,Langeløkka 12,3029 DRAMMEN,2024-06-27,2
Tannlege,AKARO AS,928349128,Terneveien 10,4621 KRISTIANSAND S,2021-10-28,5
Tannlege,AKER BRYGGE KJEVEORTOPEDI AS,921229097,"v/ Zachrisson, Grundingen 6",0250 OSLO,2018-06-24,8
Tannlege,AKERSGATA TANNLEGEKONTOR AS,929549600,Akersgata 51,0180 OSLO,2022-07-03,4
Tannlege,AKSDAL TANNKLINIKK AS,913899962,Aksdal Senter,5570 AKSDAL,2014-06-16,12
Tannlege,AKTIV TANNHELSE AS,997939549,Lille Strandgate 3,2317 HAMAR,2012-01-12,14
Tannlege,AKTIV TANNKLINIKK AS,998174724,Gransdalen 29,1054 OSLO,2012-03-01,14
Tannlege,AKVAL INVEST AS,831441712,Merkurvegen 13,5099 BERGEN,2023-04-26,3
Tannlege,ALBUS DENT AS,931273000,Nedre Vilberg veg 8,2080 EIDSVOLL,2023-03-01,3
Tannlege,ALEXANDRA CHAMORRO AS,920184693,Rideveien 32B,1361 ØSTERÅS,2017-12-17,9
Tannlege,ALEXANDRU OANCA AS,933379930,Lyngveien 8,1524 MOSS,2024-03-26,2
Tannlege,ALHOUSAIN AS,931173766,Stavangergata 44B,0467 OSLO,2023-03-19,3
Tannlege,ALMAMED AS,933277054,Enggata 13,3520 JEVNAKER,2024-04-02,2
Tannlege,ALMELAND HELSE AS,925992879,Hardangerfjordvegen 615,5610 ØYSTESE,2020-10-23,6
Tannlege,ALNA TANNREGULERING AS,931966596,Dr. Dedichens vei 82,0675 OSLO,2023-05-22,3
Tannlege,ALVDENT AS,998557658,Kastellveien 12,4841 ARENDAL,2012-06-20,14
Tannlege,ALVENES DENTAL AS,912722791,"c/o Alvenes Dental, Vangsvegen 62",2317 HAMAR,2013-10-30,13
Tannlege,AMANDA ULSUND AS,929576985,Nedre Bakklandet 58C,7014 TRONDHEIM,2022-06-22,4
Tannlege,ANLIA DENTAL AS,932547740,Torggata 3,8622 MO I RANA,2023-11-09,3
Tannlege,ANNA FIKSER TANNA AS,928877000,Nedre Flatåsveg 440,7099 FLATÅSEN,2022-02-15,4
Tannlege,ANNAS TANNKLINIKK AS,920667619,Stortorvet 5,1607 FREDRIKSTAD,2018-02-23,8
Tannlege,ANNLAUG STENSLAND AS,918085106,Øvre Heien 6,5037 BERGEN,2016-09-22,10
Tannlege,APPEL INVEST AS,918609555,Tømtebakken 1C,1396 BILLINGSTAD,2017-02-01,9
Tannlege,ARASH AS,916390440,Skårersletta 10,1473 LØRENSKOG,2015-12-04,11
Tannlege,ARCHER DENTAL AS,928633756,Parkveien 60,0254 OSLO,2021-12-17,5
Tannlege,ARCTIC SMILE TANNREGULERING AS,920428878,Dr. Wessels gate 3,9900 KIRKENES,2018-02-04,8
Tannlege,ARENDAL TANNHELSE AS,934308174,Myrheia 10C,4950 RISØR,2024-10-07,2
Tannlege,AREZASTO AS,913945743,Brentåsveien 21,3229 SANDEFJORD,2014-06-25,12
Tannlege,ARKADEN TANNHELSE AS,928224546,Klubbgata 5,4013 STAVANGER,2021-11-15,5
Tannlege,ARTADENT PARADIS TANNKLINIKK AS,830987452,Paradisleitet 1,5231 PARADIS,2023-01-23,3
Tannlege,AS TANNLEGE KLOUMAN,925400645,Skippergata 1B,4611 KRISTIANSAND S,2020-06-10,6
Tannlege,ASAP AS,925244007,"c/o Tommy Berg Larsen, Svingen 8C",8516 NARVIK,2020-06-12,6
Tannlege,ASK TANNHELSE AS,929080173,Ask 26,2022 GJERDRUM,2022-03-24,4
Tannlege,ASKER OG BÆRUM TANNKLINIKK SANDVIKA AS,921883811,Elias Smiths vei 10,1337 SANDVIKA,2018-11-24,8
Tannlege,ASKER TANNHELSE AS,997634217,Smuget 1,1383 ASKER,2011-11-02,15
Tannlege,ASKER TANNLEGEVAKT AS,928039927,Strøket 7,1383 ASKER,2021-09-07,5
Tannlege,ASKIM TANNHELSESENTER AS,934157540,Dr.Randers gate 4,1830 ASKIM,2024-09-01,2
Tannlege,ASTAFJORD TANNKLINIKK AS,919870001,Strandveien 6,9350 SJØVEGAN,2017-10-16,9
Tannlege,ATELIER ESTETIKK DENTAL AS,922048290,"c/o Lubomir Sabev, Maries gate 12C",0368 OSLO,2018-12-16,8
Tannlege,ATLE TRONDSEN AS,996612783,Måkeveien 58,0139 OSLO,2011-02-10,15
Tannlege,AURORA TANNHELSE AS,928459470,Gamle Ringeriksvei 34,1357 BEKKESTUA,2021-10-18,5
Tannlege,AUSTEVOLL TANNHELSETEAM AS,930190039,Birkelandsvegen 2,5392 STOREBØ,2022-10-10,4
Tannlege,AWAN DENTAL AS,918537015,Dr. Lunderbys veg 5,2230 SKOTTERUD,2017-01-20,9
Tannlege,BAKKAUNET TENNER OG KOS AS,926461478,Bakkaunvegen 6,7068 TRONDHEIM,2021-01-08,5
Tannlege,BAKTUS AS,999563902,Storgaten 33,4876 GRIMSTAD,2013-01-11,13
Tannlege,BALSFJORD TANNKLINIKK AS,912543471,Balstun 2,9050 STORSTEINNES,2013-09-30,13
Tannlege,BC TANNLEGE AS,932436655,Frognerveien 33A,0263 OSLO,2023-10-09,3
Tannlege,BCH DRIFT AS,812252542,Storehagen 3,6800 FØRDE,2013-07-04,13
Tannlege,BEKKESTUA TANNLEGESENTER AS,921360207,Bærumsveien 206,1357 BEKKESTUA,2018-08-03,8
Tannlege,BEKKESTUA TANNMEDISIN AS,916751478,Gamle Ringeriksvei 37,1357 BEKKESTUA,2016-02-15,10
Tannlege,BENKE INVEST AS,819716552,Kongsveien 94,1177 OSLO,2017-07-05,9
Tannlege,BERGESEN TANNHELSETEAM AS,925590584,"Sartor Storsenter, Sartorvegen 12",5353 STRAUME,2020-08-22,6
Tannlege,BERJA TANNKLINIKK AS,834671522,Herman Foss gate 4,3611 KONGSBERG,2024-12-02,2
Tannlege,BETELGEUSE CSH AS,927208253,Ullandhauggata 8,4307 SANDNES,2021-05-20,5
Tannlege,BJØLSEN TANNKLINIKK AS,926876422,Bentsebrugata 25A,0469 OSLO,2021-01-02,5
Tannlege,BJØRN BRYNE INVEST AS,916313934,Bærumsveien 373,1346 GJETTUM,2015-11-24,11
Tannlege,BJØRN J. HANSEN AS,911610949,Storgaten 33,3126 TØNSBERG,2013-01-18,13
Tannlege,BJØRNEFARET AS,923113533,"c/o Kjetil Misje, Sundlia 5D",1397 NESØYA,2019-06-25,7
Tannlege,BJØRNEFJORDEN TANNLEGEPRAKSIS AS,933218023,Sveo 28,5200 OS,2023-12-21,3
Tannlege,BLID AS,923669485,Parkveien 12,0350 OSLO,2019-09-19,7
Tannlege,BLINDHEIM TANNLEGESENTER AS,917413568,"Blindheimssenteret, Blindheimshaugen 9",6012 ÅLESUND,2016-05-24,10
Tannlege,BOBBELOBB INVEST AS,930772852,Dalsveien 56L,0775 OSLO,2023-01-10,3
Tannlege,BOGERUD TANNHELSEKLINIKK AS,923576533,Stallerudveien 103,0693 OSLO,2019-08-28,7
Tannlege,BOLTON AS,929516982,Ruskeneshaugen 25,5251 SØREIDGREND,2022-06-22,4
Tannlege,BONSO AS,927615045,"c/o John Bones, Tidemands gate 31",7030 TRONDHEIM,2021-07-02,5
Tannlege,BR DENTAL AS,924921005,Hestenesgata 2,6900 FLORØ,2020-03-30,6
Tannlege,BRACKET AS,917483310,Inge Krokanns veg 9,7340 OPPDAL,2016-06-30,10
Tannlege,BRAGERNES ENDOSPESIALIST AS,997078012,Bragernes torg 4,3017 DRAMMEN,2011-06-20,15
Tannlege,BRATTVÅG TANNHELSE AS,925553514,Strandgata 44A,6270 BRATTVÅG,2020-08-14,6
Tannlege,BROTORVET TANNKLINIKK AS,914317991,Gangveien 5,3960 STATHELLE,2014-10-05,12
Tannlege,BRYGGA TANNKLINIKK DOMINIK OCIEPKA AS,927383934,Strandgata 17B,7900 RØRVIK,2021-06-10,5
Tannlege,BRYGGEN TANNKLINIKK AS,930366358,Sjøgata 30,6700 MÅLØY,2022-11-04,4
Tannlege,BRYGGERIET TANNLEGESENTER DA,911950316,Kirkevegen 58,2413 ELVERUM,2013-05-06,13
Tannlege,BUD MEDICAL AS,929065077,Gamle Hyggen vei 11,3440 RØYKEN,2022-02-22,4
Tannlege,BUONDENT AS,934137655,Marcus Thranes gate 4D,0473 OSLO,2024-09-06,2
Tannlege,BYÅSEN TANNHELSE AS,833715232,"Byåsen Butikksenter, Fjellseterveien 1",7020 TRONDHEIM,2024-05-28,2
Tannlege,BÆRUM TANNREGULERING AS,997781333,Gamle Ringeriksvei 34,1357 BEKKESTUA,2012-01-01,14
Tannlege,BÆRUM-SANDVIKA TANNLEGEVAKT AS,913100263,Elias Smiths vei 10,1337 SANDVIKA,2014-01-01,12
Tannlege,BÆRUMS VERK TANNLEGESENTER AS,932519275,Gamleveien 5,1354 BÆRUMS VERK,2023-10-05,3
Tannlege,BØLERLIA TANNLEGESENTER AS,920873324,Utmarkveien 1,0691 OSLO,2018-04-30,8
Tannlege,BØRSETH INVEST AS,917553343,Kongens gate 51,8514 NARVIK,2016-07-18,10
Tannlege,BØRSLETT AS,912435229,Herfordts gate 1,1532 MOSS,2013-08-26,13
Tannlege,BØRSUM AS,825902872,"c/o Karin Børsum, Ovenbakken 21B",1361 ØSTERÅS,2020-09-21,6
Tannlege,BØYSEN KJEVEORTOPEDI AS,920777511,"Tannklinikken, Markveien 29",9510 ALTA,2018-02-28,8
Tannlege,C&V HAUGEN AS,925451096,Øvre Hedlevikveien 14,4156 MOSTERØY,2020-07-01,6
Tannlege,CAB AS,914601037,Sætervegen 9A,5236 RÅDAL,2014-11-14,12
Tannlege,CACONYM AS,929468821,Vigdalsvegen 404,7350 BUVIKA,2022-06-01,4
Tannlege,CALMA TANNKLINIKK AS,923790497,Rødbergveien 6,9408 HARSTAD,2019-10-01,7
Tannlege,CAMPUS PRIVATE KLINIKK AS,929362799,"v/ Ksd kompetanseklinikk, Campus Kristiansund, Fosnagata 12",6509 KRISTIANSUND N,2022-05-01,4
Tannlege,CANDTANN AS,920313299,Vestregata 42A,9008 TROMSØ,2018-01-02,8
Tannlege,CANINUS AS,930848980,Løkkebergveien 3,3014 DRAMMEN,2023-01-17,3
Tannlege,CAPEDEL AS,999655572,Refstadveien 60,0589 OSLO,2012-12-03,14
Tannlege,CAROLUS PRIVATE TANNKLINIKK AS,933231704,Bjørnstjerne Bjørnsons veg 6,6412 MOLDE,2024-03-05,2
Tannlege,CCW INVEST AS,925481262,Horgvegen 26,7055 RANHEIM,2020-07-23,6
Tannlege,CHEL AS,931710176,"c/o Elhoussain Chaoui, Lindebergåsen 52D",1068 OSLO,2023-04-02,3
Rørlegger,24/7 RØRLEGGERVAKTEN AVD ØSTFOLD AS,931077309,Jacobine Ryes vei 88,0987 OSLO,2023-03-15,3
Rørlegger,24/7 RØRLEGGERVAKTEN AVD. JÆREN AS,928143139,Fåhadlet 78,4160 FINNØY,2021-10-21,5
Rørlegger,24/7 RØRLEGGERVAKTEN AVD. STAVANGER AS,927497484,Fåhadlet 78,4160 FINNØY,2021-06-29,5
Rørlegger,24/7 RØRSERVICE AS,834521962,Tante Ulrikkes vei 57,0984 OSLO,2024-11-19,2
Rørlegger,2KN RØR-SERVICE AS,917790558,"Kontorfellesskapet EXACTA Services, Akersgata 41",0158 OSLO,2016-09-08,10
Rørlegger,5 STARS VVS SERVICE AS,927110660,Hauketoveien 7B,1266 OSLO,2021-03-22,5
Rørlegger,69 GRADER RØR AS,931689533,Olderdalsveien 567,9146 OLDERDALEN,2023-05-28,3
Rørlegger,A & A POOL AS,913381742,Trondheimsveien 740,1481 HAGAN,2014-03-11,12
Rørlegger,A & S INVEST AS,924811749,Stauslandsveien 106C,4640 SØGNE,2020-02-11,6
Rørlegger,A-R HELGEMO VVS AS,932538121,Hindbjørgveien 4,7387 SINGSÅS,2023-10-30,3
Rørlegger,A.B. RØR AS,932257955,Sørskogvegen 8,4364 SIREVÅG,2023-09-29,3
Rørlegger,A.I.VENT AS,998732328,"c/o Vitalijus Rudzinskas, Eikskollen 4",1443 DRØBAK,2012-08-14,14
Rørlegger,A.M. FISKAA AS,929230922,"c/o Are Fiskaa, Myrane 5",6143 FISKÅ,2022-02-23,4
Rørlegger,ABC RØR VIKEN AS,932690667,"c/o Daria Anna Skora, Opstadveien 52B",1719 GREÅKER,2023-12-01,3
Rørlegger,ABC RØRTEKNIKK AS,933372308,Nedre Kongerød 39,3737 SKIEN,2024-04-01,2
Rørlegger,ABRS RØR SÆTRE AS,899327632,Mellomdammen 35,3475 SÆTRE,2012-12-17,14
