bransje,navn,orgnr,adresse,postnr,poststed,stiftet
Rørleggere,A.I.VENT AS,998732328,"c/o Vitalijus Rudzinskas, Eikskollen 4",1443,DRØBAK,2012-08-14
Rørleggere,A.KOSMO HOLDING AS,932488329,Markvollveien 30,8804,SANDNESSJØEN,2023-10-13
Rørleggere,A.M. FISKAA AS,929230922,"c/o Are Fiskaa, Myrane 5",6143,FISKÅ,2022-02-23
Rørleggere,A/S Edvardsen Eiendom,946926140,Storgaten 52,8200,FAUSKE,1988-03-01
Rørleggere,A&M VVS AS,936343104,Tiurveien 7,3258,LARVIK,2025-10-03
Rørleggere,AB HÅNDVERKER AS,935906490,Christian Michelsens gate 60E,0568,OSLO,2025-07-16
Rørleggere,ABC RØR AS,948744805,Vækerøveien 169A,0751,OSLO,1987-05-19
Rørleggere,ABC RØR BERGEN AS,936165036,Lappen 19,5009,BERGEN,2025-09-04
Rørleggere,ABC RØR VIKEN AS,932690667,"c/o Daria Anna Skora, Opstadveien 52B",1719,GREÅKER,2023-12-01
Rørleggere,ABC RØR VIKEN AS TVANGSAVVIKLINGSBO,937809123,"c/o Daria Anna Skora, Opstadveien 52B",1719,GREÅKER,2026-06-01
Rørleggere,ABC RØRTEKNIKK AS,933372308,Nedre Kongerød 39,3737,SKIEN,2024-04-01
Rørleggere,ABC-RØR AS,986715223,Storgata 113,3262,LARVIK,2004-01-01
Rørleggere,ABD HOLDING AS,913750985,Rådhusveien 11,7100,RISSA,2014-05-15
Rørleggere,ABDUL MAJID INSTRUMENT,932756870,Prestholen 4,4313,SANDNES,
Rørleggere,ABDUL RØRSERVICE,935759870,Bryn skolevei 22S,1348,RYKKINN,
Rørleggere,ABJOH HOLDING AS,974444275,Torridalsveien 152,4630,KRISTIANSAND S,1995-04-24
Rørleggere,ABK RØRSERVICE AS,990711224,Larvikgaten 4,3117,TØNSBERG,2007-01-02
Rørleggere,ABRS RØR SÆTRE AS,899327632,Mellomdammen 35,3475,SÆTRE,2012-12-17
Rørleggere,ABTEK INTERNATIONAL,836276922,Hydrovej 3,,DK-6270 TØNDER,
Restauranter/kaféer,0186 BARDRIFT AS,929431650,Markveien 35A,0554,OSLO,2022-06-03
Restauranter/kaféer,2 GODE VENNER AS,924534796,C. J. Hambros plass 5,0164,OSLO,2020-01-20
Restauranter/kaféer,2.ETG AS,937027796,Rådhusgata 22,4200,SAUDA,2026-01-13
Restauranter/kaféer,2MT HOLDING AS,923438114,Industrigata 1,4307,SANDNES,2019-07-05
Restauranter/kaféer,5 BAR AS,919880481,Økernveien 182,0580,OSLO,2018-01-24
Restauranter/kaféer,501 DART & PUB DA,933919943,Storgata 47,2870,DOKKA,2024-05-01
Restauranter/kaféer,7FJELL HUSET AS,936552714,Nikolaikirkeallmenningen 1E,5003,BERGEN,2025-10-03
Restauranter/kaféer,7NULL4 AS,915264964,Heggevegen 4,2656,FOLLEBU,2015-03-20
Restauranter/kaféer,8'ERN AS,928177068,"c/o Hilde M. Rødsjø, Tungaveien 78",7130,BREKSTAD,2021-11-10
Restauranter/kaféer,A R EXPERIENCES AS,932581930,"c/o Ahadur Rahman, Nygaten 3",4838,ARENDAL,2023-11-11
Restauranter/kaféer,AC BLAZE AS,993581992,Grensen 1,0159,OSLO,2008-12-01
Restauranter/kaféer,AC-MARINE AS,913000978,Vrengen 5,4824,BJORBEKK,2013-12-20
Restauranter/kaféer,ADAMS COFFEE AS,925656135,Gamle Stokkavei 1,4313,SANDNES,2020-08-05
Restauranter/kaféer,ADAS BARDRIFT AS,932332647,"c/o Murat Uruç, Steinveien 1",1453,BJØRNEMYR,2023-10-13
Restauranter/kaféer,ADONAI AS,920296165,Sødalsveien 22,4630,KRISTIANSAND S,2018-01-16
Restauranter/kaféer,ADRIATIC BAR OG CATERING AS,820719972,Vågsgata 16A,4306,SANDNES,2018-03-09
Restauranter/kaféer,AGA GRUPPEN AS,933222586,Apotekerveien 20,1653,SELLEBAKK,2024-03-15
Restauranter/kaféer,AGLEN & SLYNGSTADLI AS,991449191,Djupedalsfaret 27,3280,TJODALYNG,2007-06-28
Restauranter/kaféer,AGLEN OG LIENS PUB AS,920282911,"c/o Asbjørn Lien, Sanden 28",3264,LARVIK,2018-01-05
Restauranter/kaféer,AHO PUB FORENINGEN,933566501,Maridalsveien 29,0175,OSLO,2024-02-28
Restauranter/kaféer,AIDIA HOLDNING AS,934617495,Vestlisvingen 26,0969,OSLO,2024-11-01
Restauranter/kaféer,AKELEO LATIN BAR AS,925641464,Skjalgs gate 31B,4041,HAFRSFJORD,2020-09-09
Restauranter/kaféer,AKTIVITETSBAR AS,936004636,Pilestredet 15B,0164,OSLO,2025-06-27
Restauranter/kaféer,AL MERI NAUSTET AS,934082419,Stangs gate 2A,3179,ÅSGÅRDSTRAND,2024-08-22
Restauranter/kaféer,ALF NABOLAGSBAR AS,913551125,Darres gate 1,0175,OSLO,2014-04-21
Restauranter/kaféer,ALIBI FREDRIKSTAD AS,922875995,"c/o Viego Regnskap AS, Markens gate 5",4610,KRISTIANSAND S,2019-05-07
Restauranter/kaféer,ALISIA AS,834061392,Gate 1 88,6700,MÅLØY,2024-08-20
Restauranter/kaféer,ALKEMISTEN BAR AS,933276325,Pløens gate 4,0181,OSLO,2024-02-28
Restauranter/kaféer,ALLÉEN AS,932762641,Bygdøy allé 21,0262,OSLO,2023-11-14
Restauranter/kaféer,ALLÉEN AS KONKURSBO,937591071,Bygdøy allé 21,0262,OSLO,2026-04-22
Restauranter/kaféer,ALVA VINBAR AS,935441978,Reset 21B,5208,OS,2025-04-15
Restauranter/kaféer,ANDERSEN BAR OG SELSKAPSLOKALE,930897418,"c/o Milano Pizzeria, Hurumveien 62",3474,ÅROS,
Restauranter/kaféer,ANDYS PUBDRIFT AS,887160872,Stortingsgata 8,0161,OSLO,2004-08-16
Restauranter/kaféer,ANNE LOUISE JUVBERGET PUB BEDRIFT.,995845709,Fridtjof Nansens gate 1,8480,ANDENES,
Restauranter/kaféer,ANNIGE BAR AS,924779489,Gamle Åslandsvegen 9,4355,KVERNALAND,2020-03-04
Restauranter/kaféer,ANRE EIENDOM AS,917718261,Dr. Wessels gate 16,9900,KIRKENES,2016-08-09
Restauranter/kaféer,ANS GABI-VT Ingebrigt Tveite og Gunn Iren Vangsnes,956918685,,5713,VOSSESTRAND,1990-03-08
Restauranter/kaféer,APOLLON TØNSBERG AS,926572091,Rådhusgaten 4,3126,TØNSBERG,2021-01-08
Restauranter/kaféer,APPROACH PUB JOHN BØRRE FJÆRLI,923658270,Moa park 4,6018,ÅLESUND,
Restauranter/kaféer,ARBEIDERGATA RESTAURANTDRIFT AS,992219076,"c/o Raymond Stubben, Toftes gate 41A",0552,OSLO,2008-01-01
Restauranter/kaféer,ARBEIDERN AS,937467494,Dreyers gate 72,8312,HENNINGSVÆR,2026-02-21
Restauranter/kaféer,ARCTIC FOOD & DRINKS AS,921668317,Sjøgata 10,9600,HAMMERFEST,2018-10-15
Restauranter/kaféer,ARCTIC NIGHTLIFE AS,925125830,Storgata 68A,9008,TROMSØ,2020-05-07
Restauranter/kaféer,ARILD J. RINGSTAD'S GARAGE RINGSTAD,937739028,Smiuvegen 3,2150,ÅRNES,
Restauranter/kaféer,ART & MAT AS,976604288,Thorvald Meyers gate 30,0555,OSLO,1996-07-24
Restauranter/kaféer,ARTICO CHRISTMAS HOUSE AS,986526684,Sjøgata 1A,9750,HONNINGSVÅG,2004-01-30
Restauranter/kaféer,AS IRISHMAN,914754445,Høleberggata 9,4006,STAVANGER,2014-12-11
Restauranter/kaféer,ASIAN KARAOKE OG BAR AS,926335529,Storgata 51,3256,LARVIK,2020-12-01
Restauranter/kaféer,ASKIM CORNER BAR DA,818302312,Rådhusgata 21,1830,ASKIM,2016-11-11
